nom_president,mandat
Emmanuel Macron,Mandat en cours
François Hollande,2012 - 2017
Nicolas Sarkozy,2007 - 2012
Jacques Chirac,1995 - 2007
François Mitterrand,1981 - 1995
Valéry Giscard d'Estaing,1974 - 1981
Georges Pompidou,1969 - 1974
Charles de Gaulle,1959 - 1969
René Coty,1954 - 1959
Vincent Auriol,1947 - 1954
Albert Lebrun,1932 - 1940
Paul Doumer,1931 - 1932
Gaston Doumergue,1924 - 1931
Alexandre Millerand,1920 - 1924
Paul Deschanel,1920 - 1920
Raymond Poincaré,1913 - 1920
Armand Fallières,1906 - 1913
Émile Loubet,1899 - 1906
Félix Faure,1895 - 1899
Jean Casimir-Perier,1894 - 1895
Sadi Carnot,1887 - 1894
Jules Grévy,1879 - 1887
Patrice de Mac Mahon,1873 - 1879
Adolphe Thiers,1871 - 1873
Louis-Napoléon Bonaparte,1848 - 1851
